T,Smoothed_Pro
193,3.825454082928901e-06
194,3.824946812679967e-06
195,3.824439542431032e-06
196,3.823932272182097e-06
197,3.823425001933163e-06
198,3.822917731684228e-06
199,3.8224104614352925e-06
200,3.821903191186358e-06
201,3.821395920937423e-06
202,3.820888650688488e-06
203,3.820381380439554e-06
204,3.819874110190619e-06
205,3.819366839941684e-06
206,3.8188595696927495e-06
207,3.818352299443814e-06
208,3.817845029194879e-06
209,3.817337758945945e-06
210,3.81683048869701e-06
211,3.816323218448075e-06
212,3.815815948199141e-06
213,3.8153086779502055e-06
214,3.8148014077012704e-06
215,3.8142941374523358e-06
216,3.813786867203401e-06
217,3.813279596954466e-06
218,3.8127723267055314e-06
219,3.8122650564565967e-06
220,3.8117577862076616e-06
221,3.811250515958727e-06
222,3.8107432457097923e-06
223,3.810235975460857e-06
224,3.8097287052119225e-06
225,3.809221434962988e-06
226,3.8087141647140528e-06
227,3.808206894465118e-06
228,3.8076996242161835e-06
229,3.8071923539672484e-06
230,3.8066850837183137e-06
231,3.806177813469379e-06
232,3.805670543220444e-06
233,3.8051632729715093e-06
234,3.8046560027225746e-06
235,3.8041487324736395e-06
236,3.803641462224705e-06
237,3.80313419197577e-06
238,3.802626921726835e-06
239,3.8021196514779004e-06
240,3.8016123812289654e-06
241,3.8011051109800307e-06
242,3.800597840731096e-06
243,3.800090570482161e-06
244,3.7995833002332263e-06
245,3.7990760299842916e-06
246,3.7985687597353565e-06
247,3.798061489486422e-06
248,3.797554219237487e-06
249,3.797046948988552e-06
250,3.7965396787396174e-06
251,3.7960324084906828e-06
252,3.7955251382417477e-06
253,3.795017867992813e-06
254,3.7945105977438784e-06
255,3.7940033274949433e-06
256,3.7934960572460086e-06
257,3.792988786997074e-06
258,3.792481516748139e-06
259,3.791974246499204e-06
260,3.7914669762502695e-06
261,3.7909597060013344e-06
262,3.7904524357523998e-06
263,3.789945165503465e-06
264,3.78943789525453e-06
265,3.7889306250055954e-06
266,3.7884233547566607e-06
267,3.7879160845077256e-06
268,3.787408814258791e-06
269,3.7869015440098563e-06
270,3.786394273760921e-06
271,3.7858870035119865e-06
272,3.785379733263052e-06
273,3.7848724630141168e-06
274,3.784365192765182e-06
275,3.7838579225162475e-06
276,3.7833506522673124e-06
277,3.7828433820183777e-06
278,3.782336111769443e-06
279,3.781828841520508e-06
280,3.7813215712715733e-06
281,3.780814301022638e-06
282,3.7803070307737035e-06
283,3.779799760524769e-06
284,3.7792924902758338e-06
285,3.778785220026899e-06
286,3.7782779497779645e-06
287,3.7777706795290294e-06
288,3.7772634092800947e-06
289,3.77675613903116e-06
290,3.776248868782225e-06
291,3.7757415985332903e-06
292,3.7752343282843556e-06
293,3.7747270580354205e-06
294,3.774219787786486e-06
295,3.773712517537551e-06
296,3.773205247288616e-06
297,3.7726979770396814e-06
298,3.7721907067907468e-06
299,3.7716834365418117e-06
300,3.771176166292877e-06
301,3.7706688960439424e-06
302,3.7701616257950073e-06
303,3.7696543555460726e-06
304,3.769147085297138e-06
305,3.768639815048203e-06
306,3.768132544799268e-06
307,3.7676252745503335e-06
308,3.7671180043013984e-06
309,3.7666107340524638e-06
310,3.766103463803529e-06
311,3.765596193554594e-06
312,3.7650889233056594e-06
313,3.7645816530567247e-06
314,3.7640743828077896e-06
315,3.763567112558855e-06
316,3.7630598423099203e-06
317,3.762552572060985e-06
318,3.7620453018120505e-06
319,3.761538031563116e-06
320,3.7610307613141808e-06
321,3.760523491065246e-06
322,3.760016220816311e-06
323,3.7595089505673764e-06
324,3.7590016803184417e-06
325,3.7584944100695066e-06
326,3.757987139820572e-06
327,3.7574798695716373e-06
328,3.756972599322702e-06
329,3.7564653290737675e-06
330,3.755958058824833e-06
331,3.7554507885758978e-06
332,3.754943518326963e-06
333,3.7544362480780285e-06
334,3.7539289778290934e-06
