T,TTI
266,6.313735552154287e-06
267,6.313735552154287e-06
268,6.313735552154287e-06
269,6.194451461393423e-06
270,6.114928734219514e-06
271,6.114928734219514e-06
272,6.114928734219514e-06
273,6.114928734219514e-06
274,6.114928734219514e-06
275,6.114928734219514e-06
276,6.114928734219514e-06
277,6.114928734219514e-06
278,6.114928734219514e-06
279,6.114928734219514e-06
280,6.114928734219514e-06
281,6.114928734219514e-06
282,6.114928734219514e-06
283,6.114928734219514e-06
284,6.114928734219514e-06
285,6.114928734219514e-06
286,6.114928734219514e-06
287,6.114928734219514e-06
288,6.114928734219514e-06
289,6.114928734219514e-06
290,6.114928734219514e-06
291,6.114928734219514e-06
292,6.114928734219514e-06
293,6.114928734219514e-06
294,6.114928734219514e-06
295,6.114928734219514e-06
296,6.114928734219514e-06
297,6.114928734219514e-06
298,6.035406007045604e-06
299,5.936002598078219e-06
300,5.936002598078219e-06
301,5.936002598078219e-06
302,5.936002598078219e-06
303,5.936002598078219e-06
304,5.936002598078219e-06
305,5.936002598078219e-06
306,5.936002598078219e-06
307,5.936002598078219e-06
308,5.936002598078219e-06
309,5.936002598078219e-06
310,5.936002598078219e-06
311,5.936002598078219e-06
312,5.936002598078219e-06
313,5.936002598078219e-06
314,5.936002598078219e-06
315,5.936002598078219e-06
316,5.936002598078219e-06
317,5.936002598078219e-06
318,5.936002598078219e-06
319,5.936002598078219e-06
320,5.936002598078219e-06
321,5.936002598078219e-06
322,5.936002598078219e-06
323,5.936002598078219e-06
324,5.936002598078219e-06
325,5.936002598078219e-06
326,5.936002598078219e-06
327,5.936002598078219e-06
328,5.936002598078219e-06
329,5.936002598078219e-06
330,5.936002598078219e-06
331,5.936002598078219e-06
332,5.936002598078219e-06
333,5.936002598078219e-06
334,5.936002598078219e-06
335,5.936002598078219e-06
336,5.936002598078219e-06
337,5.936002598078219e-06
338,5.936002598078219e-06
339,5.936002598078219e-06
340,5.936002598078219e-06
341,5.936002598078219e-06
342,5.936002598078219e-06
343,5.936002598078219e-06
344,5.936002598078219e-06
345,5.936002598078219e-06
346,5.936002598078219e-06
347,5.936002598078219e-06
348,5.936002598078219e-06
349,5.936002598078219e-06
350,5.936002598078219e-06
351,5.936002598078219e-06
352,5.936002598078219e-06
353,5.936002598078219e-06
354,5.936002598078219e-06
355,5.936002598078219e-06
356,5.936002598078219e-06
357,5.836599189110831e-06
358,5.69743441655649e-06
359,5.69743441655649e-06
360,5.69743441655649e-06
361,5.69743441655649e-06
362,5.69743441655649e-06
363,5.69743441655649e-06
364,5.69743441655649e-06
365,5.69743441655649e-06
366,5.69743441655649e-06
367,5.69743441655649e-06
368,5.69743441655649e-06
369,5.69743441655649e-06
370,5.69743441655649e-06
371,5.69743441655649e-06
372,5.69743441655649e-06
373,5.69743441655649e-06
374,5.69743441655649e-06
375,5.69743441655649e-06
376,5.69743441655649e-06
377,5.69743441655649e-06
378,5.69743441655649e-06
379,5.69743441655649e-06
380,5.69743441655649e-06
381,5.69743441655649e-06
382,5.69743441655649e-06
383,5.69743441655649e-06
384,5.69743441655649e-06
385,5.69743441655649e-06
386,5.69743441655649e-06
387,5.69743441655649e-06
388,5.69743441655649e-06
389,5.69743441655649e-06
390,5.69743441655649e-06
391,5.69743441655649e-06
392,5.69743441655649e-06
393,5.69743441655649e-06
394,5.69743441655649e-06
395,5.69743441655649e-06
396,5.69743441655649e-06
397,5.69743441655649e-06
398,5.69743441655649e-06
399,5.69743441655649e-06
400,5.69743441655649e-06
401,5.69743441655649e-06
402,5.69743441655649e-06
403,5.69743441655649e-06
404,5.69743441655649e-06
405,5.69743441655649e-06
406,5.69743441655649e-06
407,5.69743441655649e-06
408,5.69743441655649e-06
409,5.69743441655649e-06
410,5.69743441655649e-06
411,5.69743441655649e-06
412,5.69743441655649e-06
413,5.69743441655649e-06
414,5.69743441655649e-06
415,5.5582696440021474e-06
416,5.359462826067377e-06
417,5.359462826067377e-06
418,5.359462826067377e-06
419,5.359462826067377e-06
420,5.359462826067377e-06
421,5.359462826067377e-06
422,5.359462826067377e-06
423,5.359462826067377e-06
424,5.359462826067377e-06
425,5.359462826067377e-06
426,5.359462826067377e-06
427,5.359462826067377e-06
428,5.359462826067377e-06
429,5.359462826067377e-06
430,5.359462826067377e-06
431,5.359462826067377e-06
432,5.359462826067377e-06
433,5.359462826067377e-06
434,5.359462826067377e-06
435,5.359462826067377e-06
436,5.359462826067377e-06
437,5.359462826067377e-06
438,5.359462826067377e-06
439,5.359462826067377e-06
440,5.359462826067377e-06
441,5.359462826067377e-06
442,5.359462826067377e-06
443,5.359462826067377e-06
444,5.160656008132606e-06
445,5.319701462480423e-06
446,5.240178735306515e-06
447,5.240178735306515e-06
448,5.240178735306515e-06
449,5.240178735306515e-06
450,5.240178735306515e-06
451,5.240178735306515e-06
452,5.240178735306515e-06
453,5.240178735306515e-06
454,5.240178735306515e-06
455,5.240178735306515e-06
456,5.240178735306515e-06
457,5.240178735306515e-06
458,5.240178735306515e-06
459,5.240178735306515e-06
460,5.240178735306515e-06
461,5.240178735306515e-06
462,5.240178735306515e-06
463,5.240178735306515e-06
464,5.240178735306515e-06
465,5.240178735306515e-06
466,5.240178735306515e-06
467,5.240178735306515e-06
468,5.240178735306515e-06
469,5.240178735306515e-06
470,5.240178735306515e-06
471,5.240178735306515e-06
472,5.240178735306515e-06
473,5.240178735306515e-06
474,5.160656008132606e-06
475,5.240178735306515e-06
476,5.240178735306515e-06
477,5.240178735306515e-06
478,5.240178735306515e-06
479,5.240178735306515e-06
480,5.240178735306515e-06
481,5.240178735306515e-06
482,5.240178735306515e-06
483,5.240178735306515e-06
484,5.240178735306515e-06
485,5.240178735306515e-06
486,5.240178735306515e-06
487,5.240178735306515e-06
488,5.240178735306515e-06
489,5.240178735306515e-06
490,5.240178735306515e-06
491,5.240178735306515e-06
492,5.240178735306515e-06
493,5.240178735306515e-06
494,5.240178735306515e-06
495,5.240178735306515e-06
496,5.240178735306515e-06
497,5.240178735306515e-06
498,5.240178735306515e-06
499,5.240178735306515e-06
500,5.240178735306515e-06
501,5.240178735306515e-06
502,5.240178735306515e-06
503,5.240178735306515e-06
504,5.240178735306515e-06
505,5.240178735306515e-06
506,5.240178735306515e-06
507,5.240178735306515e-06
508,5.240178735306515e-06
509,5.240178735306515e-06
510,5.240178735306515e-06
511,5.240178735306515e-06
512,5.240178735306515e-06
513,5.240178735306515e-06
514,5.240178735306515e-06
515,5.240178735306515e-06
516,5.240178735306515e-06
517,5.240178735306515e-06
518,5.240178735306515e-06
519,5.240178735306515e-06
520,5.240178735306515e-06
521,5.240178735306515e-06
522,5.240178735306515e-06
523,5.240178735306515e-06
524,5.240178735306515e-06
525,5.240178735306515e-06
526,5.240178735306515e-06
527,5.240178735306515e-06
528,5.240178735306515e-06
529,5.240178735306515e-06
530,5.240178735306515e-06
531,5.240178735306515e-06
532,5.240178735306515e-06
533,5.240178735306515e-06
534,5.240178735306515e-06
535,5.240178735306515e-06
536,5.240178735306515e-06
537,5.240178735306515e-06
538,5.240178735306515e-06
539,5.240178735306515e-06
540,5.240178735306515e-06
541,5.240178735306515e-06
542,5.240178735306515e-06
543,5.240178735306515e-06
544,5.240178735306515e-06
545,5.240178735306515e-06
546,5.240178735306515e-06
547,5.240178735306515e-06
548,5.240178735306515e-06
549,5.240178735306515e-06
550,5.240178735306515e-06
551,5.240178735306515e-06
552,5.240178735306515e-06
553,5.240178735306515e-06
554,5.240178735306515e-06
555,5.240178735306515e-06
556,5.240178735306515e-06
557,5.240178735306515e-06
558,5.240178735306515e-06
559,5.240178735306515e-06
560,5.240178735306515e-06
561,5.240178735306515e-06
562,5.240178735306515e-06
563,5.319701462480423e-06
564,5.438985553241285e-06
565,5.438985553241285e-06
566,5.438985553241285e-06
567,5.438985553241285e-06
568,5.438985553241285e-06
569,5.438985553241285e-06
570,5.438985553241285e-06
571,5.438985553241285e-06
572,5.438985553241285e-06
573,5.438985553241285e-06
574,5.438985553241285e-06
575,5.438985553241285e-06
576,5.438985553241285e-06
577,5.438985553241285e-06
578,5.438985553241285e-06
579,5.438985553241285e-06
580,5.438985553241285e-06
581,5.438985553241285e-06
582,5.438985553241285e-06
