x,f(x)
0,0.947061192
0.149052251,2.729300859
0.353644469,4.826053408
0.626434094,6.503455448
0.762828906,8.49537037
1.103815937,10.27761004
1.376605562,11.95501208
1.58119778,14.05176463
1.785789999,15.93884192
2.058579623,18.45494498
2.331369248,20.76137279
2.672356279,23.17263822
2.876948497,25.58390365
3.149738122,27.89033145
3.422527747,30.09192163
3.695317371,32.08383655
3.89990959,34.1805891
4.104501808,36.0676664
4.445488839,38.26925658
4.78647587,40.47084675
4.991068088,42.46276167
5.332055119,44.87402711
5.604844744,47.07561728
5.741239556,48.54334407
6.082226587,50.32558374
6.491411024,51.89814815
6.696003242,53.78522544
6.900595461,55.04327697
7.105187679,56.40616613
7.377977304,57.66421766
7.718964335,59.3416197
8.059951366,60.80934648
8.400938396,62.3819109
8.810122833,63.84963768
9.21930727,65.10768921
9.76488652,66.26090311
10.37866317,67.41411702
11.06063724,68.56733092
11.53801908,69.72054482
12.21999314,70.66408347
12.97016461,71.60762211
13.65213867,72.34148551
14.40231014,73.28502415
15.15248161,74.01888755
15.90265307,75.06726382
16.72102195,75.90596484
17.40299601,76.74466586
18.15316748,77.68820451
18.97153635,78.63174316
19.85810263,79.5752818
20.81286632,80.51882045
21.6994326,81.56719673
22.65419628,82.51073537
23.47256516,83.24459877
24.29093403,84.08329979
25.10930291,84.60748792
25.92767178,85.44618894
26.60964584,86.18005233
27.42801472,86.8090781
28.24638359,87.33326624
29.20114728,88.06712963
30.01951615,88.59131777
30.6332928,89.1155059
31.38346427,89.63969404
31.99724093,90.05904455
32.61101758,90.47839506
33.29299164,91.0025832
33.9067683,91.21225845
34.58874236,91.52677134
35.33891383,92.05095947
36.0890853,92.26063473
36.97565158,92.57514761
37.65762564,92.88966049
38.47599451,93.09933575
39.15796857,93.41384863
39.90814004,93.72836151
40.72650892,93.83319914
41.34028557,94.14771202
42.02225963,94.14771202
42.7724311,94.14771202
43.59079998,94.35738728
44.20457663,94.56706253
44.68195847,94.77673779
45.29573513,94.67190016
45.84131438,94.98641304
46.65968325,94.98641304
47.40985472,95.09125067
48.02363138,95.09125067
48.70560544,95.09125067
49.3875795,95.1960883
50.41054059,95.1960883
51.29710687,95.30092593
52.25187056,95.40576355
53.20663424,95.40576355
54.16139793,95.51060118
54.9115694,95.51060118
55.66174087,95.51060118
56.41191233,95.51060118
57.1620838,95.61543881
57.91225527,95.72027644
58.38963711,95.72027644
58.93521636,95.72027644
59.4125982,95.72027644
60.02637486,95.72027644
60.5037567,95.82511406
61.04933595,95.82511406
61.73131001,95.72027644
62.20869186,95.92995169
62.82246851,95.82511406
63.43624517,95.82511406
63.8454296,95.82511406
64.32281145,95.82511406
64.80019329,96.03478932
65.55036476,96.03478932
66.30053623,96.13962695
67.05070769,96.13962695
67.80087916,96.24446457
68.41465582,96.24446457
69.23302469,96.24446457
70.05139357,96.24446457
70.66517022,96.3493022
71.27894688,96.3493022
72.09731575,96.45413983
72.77928981,96.45413983
73.52946128,96.45413983
74.34783015,96.45413983
74.8934094,96.45413983
75.64358087,96.55897746
76.32555493,96.55897746
77.14392381,96.55897746
78.03049009,96.55897746
78.50787193,96.55897746
79.12164858,96.66381508
79.73542524,96.66381508
80.4173993,96.66381508
81.09937336,96.66381508
81.78134742,96.66381508
82.46332149,96.66381508
83.14529555,96.76865271
83.6908748,96.76865271
84.30465145,96.76865271
84.91842811,96.76865271
85.60040217,96.76865271
86.21417883,96.87349034
86.96435029,96.87349034
87.71452176,96.87349034
88.60108804,96.87349034
89.48765432,97.08316559
90.16962838,96.87349034
91.05619466,96.87349034
91.94276094,96.97832797
92.89752463,96.97832797
93.92048572,96.87349034
94.67065719,97.08316559
95.55722347,97.18800322
96.64838197,97.29284085
97.73954047,97.29284085
98.69430415,97.39767848
99.51267303,97.29284085
100.1264497,97.29284085
101.013016,97.29284085
101.8995822,97.39767848
102.8543459,97.39767848
103.6727148,97.5025161
104.2182941,97.60735373
104.9002681,97.60735373
105.8550318,97.60735373
106.5370059,97.60735373
107.2189799,97.71219136
108.0373488,97.60735373
108.582928,97.60735373
109.6740865,97.60735373
110.424258,97.71219136
111.3108243,97.71219136
112.3337854,97.81702899
113.2203517,97.92186661
114.0387205,97.81702899
114.8570894,97.81702899
116.0164453,98.02670424
116.7666168,98.13154187
117.5167883,98.02670424
118.3351571,98.02670424
119.153526,98.13154187
119.7673027,98.02670424
120.7220663,98.2363795
121.335843,98.2363795
121.9496197,98.2363795
122.5633963,98.2363795
123.4499626,98.13154187
124.3365289,98.13154187
124.9503055,98.13154187
125.8368718,98.34121712
126.7234381,98.34121712
127.541807,98.13154187
128.2919784,98.13154187
128.8375577,98.13154187
129.724124,98.13154187
130.747085,98.13154187
132.1792306,98.34121712
131.5654539,98.34121712
132.9975995,98.55089238
134.4979424,98.76056763
135.9982853,98.76056763
137.0212464,98.76056763
138.5215894,98.86540526
139.7491427,99.07508052
141.4540778,99.07508052
142.7498285,99.07508052
143.7727896,99.07508052
145.5459222,99.07508052
146.5688833,99.07508052
147.7964366,99.07508052
148.6830029,99.07508052
149.4331743,99.28475577
133.6795735,98.65573001
134.9753242,98.65573001
137.6350231,98.65573001
140.6357089,98.97024289
141.9996571,99.07508052
144.6593559,99.17991814
