source,target
1290000001838,1838
130,1300000009883
1300000009883,9883
130,130000000629
130000000629,629
130,130000000102
130000000102,102
131,1310000001120
1310000001120,1120
131,1310000001309
1310000001309,1309
132,1320000006317
1320000006317,6317
133,1330000004553
1330000004553,4553
134,1340000006798
1340000006798,6798
135,1350000008849
1350000008849,8849
136,1360000005476
1360000005476,5476
136,136000000135
136000000135,135
137,1370000006369
1370000006369,6369
137,1370000005092
1370000005092,5092
139,1390000008361
1390000008361,8361
140,1400000004529
1400000004529,4529
140,1400000003921
1400000003921,3921
141,1410000007241
1410000007241,7241
141,141000000142
141000000142,142
142,142000000141
142000000141,141
142,1420000001934
1420000001934,1934
143,1430000005672
1430000005672,5672
143,1430000006555
1430000006555,6555
145,1450000004584
1450000004584,4584
145,145000000155
145000000155,155
145,1450000004566
1450000004566,4566
146,146000000147
146000000147,147
146,1460000009655
1460000009655,9655
147,147000000148
147000000148,148
148,148000000149
148000000149,149
148,1480000002519
1480000002519,2519
149,149000000146
149000000146,146
150,150000000104
150000000104,104
150,1500000005628
1500000005628,5628
152,1520000005559
1520000005559,5559
152,1520000009943
1520000009943,9943
153,153000000157
153000000157,157
153,153000000158
153000000158,158
154,15400000072
15400000072,72
155,1550000004566
1550000004566,4566
155,155000000167
155000000167,167
156,156000000153
156000000153,153
157,1570000001192
1570000001192,1192
157,1570000001214
1570000001214,1214
158,1580000003074
1580000003074,3074
160,1600000003904
1600000003904,3904
160,1600000003909
1600000003909,3909
162,16200000010899
16200000010899,10899
163,1630000001260
1630000001260,1260
163,16300000010207
16300000010207,10207
165,1650000005627
1650000005627,5627
166,1660000001192
1660000001192,1192
166,1660000001214
1660000001214,1214
167,167000000170
167000000170,170
167,167000000155
167000000155,155
168,16800000010877
16800000010877,10877
168,168000000278
168000000278,278
170,1700000006488
1700000006488,6488
170,170000000167
170000000167,167
172,1720000009082
1720000009082,9082
172,1720000001620
1720000001620,1620
172,1720000002222
1720000002222,2222
173,1730000005389
1730000005389,5389
173,1730000007295
1730000007295,7295
174,1740000002336
1740000002336,2336
174,174000000897
174000000897,897
175,1750000005636
1750000005636,5636
175,1750000004614
1750000004614,4614
176,1760000001539
1760000001539,1539
176,176000000445
176000000445,445
176,176000000247
176000000247,247
177,1770000001784
1770000001784,1784
177,1770000005922
1770000005922,5922
177,1770000005668
1770000005668,5668
179,179000000180
179000000180,180
179,179000000181
179000000181,181
180,1800000009758
1800000009758,9758
181,1810000006433
1810000006433,6433
182,182000000180
182000000180,180
182,182000000181
182000000181,181
183,1830000001425
1830000001425,1425
183,1830000002342
1830000002342,2342
184,1840000002056
1840000002056,2056
184,1840000009411
1840000009411,9411
185,1850000009290
1850000009290,9290
185,1850000009293
1850000009293,9293
186,1860000001539
1860000001539,1539
187,1870000006968
1870000006968,6968
187,1870000005054
1870000005054,5054
188,188000000185
188000000185,185
189,1890000001257
1890000001257,1257
189,1890000006645
1890000006645,6645
190,1900000003657
1900000003657,3657
190,190000000195
190000000195,195
191,1910000005738
1910000005738,5738
191,1910000005639
1910000005639,5639
192,192000000188
192000000188,188
193,1930000001758
1930000001758,1758
194,1940000007082
1940000007082,7082
194,194000000197
194000000197,197
195,1950000002787
1950000002787,2787
195,195000000190
195000000190,190
196,1960000005951
1960000005951,5951
197,197000000194
197000000194,194
197,197000000198
197000000198,198
198,1980000009019
1980000009019,9019
198,198000000197
198000000197,197
199,199000000207
199000000207,207
200,2000000001814
2000000001814,1814
201,2010000009786
2010000009786,9786
201,201000000212
201000000212,212
202,2020000004472
2020000004472,4472
202,2020000007906
2020000007906,7906
203,2030000002786
2030000002786,2786
203,2030000009786
2030000009786,9786
203,2030000005942
2030000005942,5942
204,204000000222
204000000222,222
205,205000000234
205000000234,234
205,20500000010803
20500000010803,10803
205,205000000261
205000000261,261
206,20600000010915
20600000010915,10915
206,206000000415
206000000415,415
207,2070000002971
2070000002971,2971
207,2070000007159
2070000007159,7159
208,20800000012
20800000012,12
209,2090000004353
2090000004353,4353
209,2090000002886
2090000002886,2886
210,2100000007951
2100000007951,7951
211,211000000312
211000000312,312
211,2110000008899
2110000008899,8899
212,212000000201
212000000201,201
212,2120000001450
2120000001450,1450
212,2120000003209
2120000003209,3209
213,2130000007207
2130000007207,7207
214,214000000218
214000000218,218
214,214000000215
214000000215,215
215,2150000007091
2150000007091,7091
215,215000000214
215000000214,214
216,2160000004596
2160000004596,4596
217,2170000001542
2170000001542,1542
217,2170000001559
2170000001559,1559
218,2180000007089
2180000007089,7089
218,218000000214
218000000214,214
218,218000000233
218000000233,233
219,2190000003058
2190000003058,3058
219,21900000010482
21900000010482,10482
220,220000000243
220000000243,243
221,221000000224
221000000224,224
221,2210000002050
2210000002050,2050
221,2210000001559
2210000001559,1559
222,2220000001539
2220000001539,1539
222,2220000007243
2220000007243,7243
222,222000000204
222000000204,204
223,2230000005641
2230000005641,5641
223,2230000005669
2230000005669,5669
224,224000000221
224000000221,221
224,2240000001542
2240000001542,1542
225,2250000007975
2250000007975,7975
226,226000000229
226000000229,229
226,2260000009773
2260000009773,9773
227,2270000007931
2270000007931,7931
227,227000000228
227000000228,228
228,2280000009954
2280000009954,9954
228,2280000007923
2280000007923,7923
228,228000000227
228000000227,227
229,22900000010120
22900000010120,10120
230,2300000002069
2300000002069,2069
231,231000000154
231000000154,154
231,23100000054
23100000054,54
232,2320000008641
2320000008641,8641
232,2320000005942
2320000005942,5942
233,233000000218
233000000218,218
233,2330000009715
2330000009715,9715
234,234000000205
234000000205,205
234,234000000261
234000000261,261
235,235000000233
235000000233,233
235,2350000009715
2350000009715,9715
236,2360000001629
2360000001629,1629
236,2360000001390
2360000001390,1390
237,2370000009717
2370000009717,9717
238,2380000007097
2380000007097,7097
238,2380000009715
2380000009715,9715
238,238000000237
238000000237,237
239,239000000220
239000000220,220
239,2390000003758
2390000003758,3758
240,2400000007964
2400000007964,7964
241,2410000003724
2410000003724,3724
242,2420000006320
2420000006320,6320
242,2420000009251
2420000009251,9251
243,243000000270
243000000270,270
243,243000000239
243000000239,239
244,24400000010721
24400000010721,10721
244,24400000010723
24400000010723,10723
244,2440000003663
2440000003663,3663
245,245000000107
245000000107,107
245,2450000003316
2450000003316,3316
246,246000000257
246000000257,257
246,2460000005727
2460000005727,5727
247,247000000176
247000000176,176
248,2480000002347
2480000002347,2347
249,2490000001136
2490000001136,1136
249,2490000005731
2490000005731,5731
250,250000000255
250000000255,255
250,2500000005415
2500000005415,5415
251,2510000004315
2510000004315,4315
251,2510000007875
2510000007875,7875
252,252000000256
252000000256,256
253,2530000005945
2530000005945,5945
253,253000000251
253000000251,251
254,254000000409
254000000409,409
254,2540000009588
2540000009588,9588
255,255000000250
255000000250,250
255,25500000010886
25500000010886,10886
256,2560000005604
2560000005604,5604
256,2560000007149
2560000007149,7149
257,257000000246
257000000246,246
258,2580000005074
2580000005074,5074
259,2590000009851
2590000009851,9851
259,2590000005804
2590000005804,5804
260,260000000245
260000000245,245
260,2600000005654
2600000005654,5654
261,261000000234
261000000234,234
261,26100000010803
26100000010803,10803
261,261000000205
261000000205,205
262,2620000004381
2620000004381,4381
263,263000000264
263000000264,264
263,2630000002806
2630000002806,2806
264,264000000263
264000000263,263
264,2640000002591
2640000002591,2591
265,265000000266
265000000266,266
266,2660000009445
2660000009445,9445
267,26700000010081
26700000010081,10081
267,2670000001126
2670000001126,1126
269,2690000002447
2690000002447,2447
270,270000000243
270000000243,243
271,2710000008673
2710000008673,8673
272,2720000002130
2720000002130,2130
272,2720000006012
2720000006012,6012
272,272000000630
272000000630,630
273,2730000001079
2730000001079,1079
274,2740000007008
2740000007008,7008
274,27400000032
27400000032,32
274,2740000008694
2740000008694,8694
275,2750000004417
2750000004417,4417
275,2750000005686
2750000005686,5686
276,276000000325
276000000325,325
277,277000000320
277000000320,320
277,2770000006319
2770000006319,6319
278,278000000168
278000000168,168
278,27800000010906
27800000010906,10906
279,279000000280
279000000280,280
279,2790000007884
2790000007884,7884
280,2800000007886
2800000007886,7886
280,280000000279
280000000279,279
281,281000000288
281000000288,288
281,281000000420
281000000420,420
282,2820000004679
2820000004679,4679
283,2830000008911
2830000008911,8911
284,2840000002782
2840000002782,2782
284,2840000009927
2840000009927,9927
285,2850000001573
2850000001573,1573
285,2850000001229
2850000001229,1229
286,2860000006916
2860000006916,6916
286,286000000638
286000000638,638
287,28700000047
28700000047,47
288,288000000281
288000000281,281
288,2880000008418
2880000008418,8418
288,2880000008612
2880000008612,8612
289,2890000007449
2890000007449,7449
289,2890000005334
2890000005334,5334
290,290000000106
290000000106,106
290,2900000009508
